Postal Code,Municipality,Neighborhood,Latitude,Longitude,Area,Job_places,Population,Adult_population,Average_income_inhabitant,Median_income_inhabitant,Households_total,Average_size_household,Average_income_household,Median_income_household
01370,Vantaa,Jokiniemi,60.297897076687164,25.06151230981596,3261820,1451,6562,5276,22484,21778,3336,2.0,35951,31313
01380,Vantaa,Kuusikko-Hakkila,60.283623333793088,25.074047939310322,4424793,4077,1907,1413,29244,26946,724,2.6,56617,51324
01390,Vantaa,Ruskeasanta-Ilola,60.324028410040626,25.0137690704178,7098930,1161,9046,6672,28516,26330,3607,2.5,54281,51136
01400,Vantaa,Rekola,60.331681724848387,25.075236901818112,5626751,2631,8595,6315,25792,23810,3714,2.3,45851,39397
01420,Vantaa,Päiväkumpu,60.325378192145891,25.1040788085554,3908448,253,3225,2356,28648,26511,1122,2.8,60966,57821
01450,Vantaa,Korso,60.355282863833324,25.071088198829056,14409178,3066,18228,14277,24754,23428,8366,2.2,42111,36082
01480,Vantaa,Mikkola,60.346428941573109,25.107532890636708,3036738,808,6386,4897,23894,22824,3025,2.1,40542,34326
01490,Vantaa,Nikinmäki,60.344187710499568,25.13666080479102,9835277,483,4233,2830,30422,28488,1475,2.9,61409,58468
01510,Vantaa,Kirkonkylä-Veromäki,60.289819184138508,24.967861147675467,7660748,17945,6359,4803,25431,24089,2910,2.2,41702,36752
01520,Vantaa,Tammisto,60.2775467281714,24.963140169686977,2019024,863,7835,5609,29238,27435,3436,2.3,47905,42478
01530,Vantaa,Veromiehenkylä,60.309476966257677,24.958323411042965,17197512,16631,418,405,20417,20923,233,1.8,32674,29439
01600,Vantaa,Myyrmäki,60.264750354564683,24.849245811040365,2774549,4995,17170,13865,22895,21809,9459,1.8,34672,29846
01610,Vantaa,Kaivoksela,60.262608164619166,24.875320599508612,2775026,2672,5150,4239,24505,23356,2891,1.8,37123,31228
01620,Vantaa,Martinlaakso,60.279902155704733,24.853523067114068,3185037,4739,12106,9518,23867,22524,6115,2.0,38753,33772
01630,Vantaa,Hämeenkylä,60.267271884146361,24.79395282926831,2645689,343,2055,1587,31412,27636,852,2.4,58667,51920
01640,Vantaa,Hämevaara,60.2520345247191,24.798813880898855,3107721,1337,3395,2630,28866,25404,1579,2.1,50460,42873
01650,Vantaa,Vapaala,60.262399953013286,24.825125754851872,2132777,1398,4124,3298,27840,24696,1914,2.1,48806,40333
01660,Vantaa,Varisto,60.287398616981129,24.807885309433939,1007947,374,2306,1856,25737,23775,1045,2.2,44561,38859
01670,Vantaa,Vantaanlaakso,60.281718883040874,24.873779307602362,2287549,1744,2813,2178,29547,27408,1215,2.3,54278,50109
01680,Vantaa,Askisto,60.28382617224279,24.782514535315975,6601075,201,2087,1539,29637,26666,794,2.6,58067,52198
01690,Vantaa,Ylästö,60.281781091830894,24.915112381408445,6045929,647,4787,3164,33159,29805,1648,2.9,67148,62427
01700,Vantaa,Kivistö,60.324596968091207,24.844972818803402,4932635,613,6944,4712,28674,25727,3319,2.1,47871,39343
01710,Vantaa,Pähkinärinne,60.258951163999996,24.801272371999996,1234759,463,5071,4181,24230,23275,2785,1.8,36655,31315
01720,Vantaa,Petikko,60.2807937117647,24.817547852941185,4257140,4116,65,56,22728,23838,34,1.9,38793,31715
01730,Vantaa,Vantaanpuisto,60.318480008968663,24.867006120328845,14286508,1258,2586,1935,27374,24952,1082,2.4,50263,45498
01740,Vantaa,Tuupakan teollisuusalue,60.295925291545146,24.893052475218667,8136713,3974,199,165,27358,25318,85,2.3,52510,48618
01750,Vantaa,Keimola,60.340270481389631,24.794234362282879,22469229,243,868,638,30438,26981,313,2.8,62814,56161
01760,Vantaa,Seutula,60.358335631982513,24.866909875136898,33787413,648,2096,1632,27053,24602,835,2.5,52461,46446
01770,Vantaa,Martinlaakson teollisuusalue,60.288589666666667,24.856719555555557,188347,422,0,0,0,0,0,0.0,0,0
01800,Nurmijärvi,Klaukkala Keskus,60.385068368659077,24.736064233602516,21758477,2426,8238,6136,27832,24629,3790,2.2,46664,39392
01810,Nurmijärvi,Luhtajoki,60.40553313347025,24.802436439425044,13559902,136,701,506,30755,26266,248,2.8,62665,54325
01820,Nurmijärvi,Haikala,60.4011120385925,24.753211317820615,5611174,277,3372,2419,29556,27699,1295,2.6,55786,53200
01830,Nurmijärvi,Lepsämä,60.386118055235904,24.655085927502864,34731725,325,2627,1755,29678,26284,888,3.0,60170,54801
01840,Nurmijärvi,Klaukkala,60.365152913251393,24.74615299112023,8713286,446,4080,2866,31209,28319,1515,2.7,59291,54803
01860,Nurmijärvi,Perttula,60.440554141264009,24.68381166702072,58876393,283,2075,1563,26813,25417,785,2.6,52971,51117
01900,Nurmijärvi,Nurmijärvi Keskus,60.46998194515443,24.826207287806152,77744851,4229,8975,6886,27047,23927,4104,2.2,46043,37678
01940,Nurmijärvi,Palojoki,60.42094221604939,24.861398509259256,19552693,95,760,568,28044,25630,291,2.6,54496,52769
02100,Espoo,Tapiola,60.170288250883345,24.808585597173153,1907447,5529,5025,4110,34268,27093,2932,1.7,51654,37435
02110,Espoo,Otsolahti,60.178440724999994,24.816887237499998,878222,277,2790,2348,31701,26979,1504,1.9,49822,39491
02120,Espoo,Länsikorkee-Suvikumpu,60.179323455056171,24.77163085955058,712858,166,2810,2398,31464,25885,1581,1.8,47860,35300
02130,Espoo,Pohjois-Tapiola,60.188624348751155,24.791836983348752,2644954,3658,6286,4721,38285,30783,2717,2.3,68027,53580
02140,Espoo,Laajalahti,60.202459726867389,24.802945117056861,2669594,418,3786,2748,35377,29607,1434,2.6,68289,58828
02150,Espoo,Otaniemi,60.183179770909113,24.8281235890909,2003315,16750,3720,3848,12124,10469,1866,1.8,23080,18412
02160,Espoo,Westend,60.159895837883965,24.798506192832807,2067000,700,3181,2401,63599,35612,1259,2.5,122647,73075
02170,Espoo,Haukilahti,60.162790213138734,24.773694865693443,1942277,1092,5649,4523,41474,29629,2647,2.1,70450,49852
02180,Espoo,Mankkaa,60.195504286973524,24.766000692458398,3425133,1668,6838,4849,42319,33121,2471,2.8,82948,65842
02200,Espoo,Niittykumpu,60.1751863637631,24.76064772682928,4513457,7898,8465,6292,32833,28167,4118,2.0,55665,46190
02210,Espoo,Olari,60.173694914215694,24.727097118464059,3560883,1744,11238,8914,28471,25330,5555,2.0,46821,38705
02230,Espoo,Matinkylä,60.15247654984897,24.746403703495915,5967507,4297,21594,16813,29924,23671,10896,2.0,48156,34523
02240,Espoo,Friisilä,60.167686342572047,24.717110024390244,1401091,1265,2301,1613,41285,33470,882,2.6,82339,72893
02250,Espoo,Henttaa,60.18770165009564,24.730391854684523,2152411,252,4025,2843,27039,23919,1913,2.1,43805,35391
02260,Espoo,Kaitaa,60.146218500594522,24.695117420927456,2361154,377,3729,2798,32246,26411,1593,2.3,57409,46676
02270,Espoo,Finnoo-Eestinmalmi,60.160462461020174,24.696141200192493,3437199,3150,2217,1642,35623,29875,820,2.7,70890,60139
02280,Espoo,Malminmäki-Eestinlaakso,60.174087996808552,24.684202419148932,3426103,343,4455,3239,28913,26624,1797,2.5,52460,46570
02290,Espoo,Puolarmetsän sairaala,,,166266,357,6,12,0,0,0,0.0,0,0
02300,Espoo,Nöykkiönpuro,60.160382263901191,24.672004780229503,1730780,307,2585,1817,39248,32329,874,3.0,83037,71667
02320,Espoo,Espoonlahti,60.146748742543231,24.645660774725279,3071666,2313,16246,13292,26529,23376,8163,2.0,42897,35077
02330,Espoo,Saunalahti-Kattilalaakso,60.166325045747364,24.639979190077288,5896237,1898,9551,6491,35384,28603,3903,2.4,63781,52133
02340,Espoo,Latokaski,60.178173059052035,24.658645491841476,3258395,319,4971,3505,31457,28515,1788,2.8,61550,56786
02360,Espoo,Soukka,60.137171533555239,24.673189018857503,4902586,1091,9773,7740,31458,24515,4481,2.2,54493,40618
02380,Espoo,Suvisaaristo,60.114396122928909,24.712588018706604,8990600,87,673,486,58026,30732,256,2.6,115569,68621
02390,Kirkkonummi,Sarvvik,60.145435542087554,24.597932286195263,12005670,68,502,362,45802,24319,273,1.8,76220,37198
02400,Kirkkonummi,Kirkkonummi Keskus,60.134697562174615,24.435417817954562,71190787,3604,12420,9517,27131,24372,5616,2.2,46960,39586
02410,Kirkkonummi,Gesterby,60.136931886792453,24.447573825471714,916658,73,2051,1746,21027,19624,1185,1.7,30607,25115
02420,Kirkkonummi,Jorvas,60.103093654911824,24.567778586397974,49028555,1508,1792,1373,33149,28464,676,2.6,67086,58136
02430,Kirkkonummi,Masala,60.16232658596136,24.530144889114915,9947574,859,4403,3158,25429,23403,1876,2.3,43332,38018
02440,Kirkkonummi,Luoma,60.178887491935484,24.531553556451623,8435586,77,604,483,37341,27030,244,2.5,74540,56152
02450,Kirkkonummi,Sundsberg,60.15703279820633,24.557650567264556,4292942,137,1972,1173,37485,34122,633,3.1,71518,68351
02460,Kirkkonummi,Kantvik,60.092147517684914,24.39991113826364,4388139,453,1713,1359,29895,26538,771,2.2,52190,43765
02470,Kirkkonummi,Upinniemi,60.028042277777772,24.370868624999986,7830571,676,297,283,22929,22928,187,1.6,33527,28545
02480,Kirkkonummi,Porkkala,60.052982175636807,24.447802757696568,112373251,522,4554,3230,31113,27972,1753,2.6,60351,56275
02490,Siuntio,Pikkala,60.085764662551433,24.328310637860078,7888455,379,295,264,25497,23331,154,1.9,41086,34650
02510,Kirkkonummi,Oitmäki,60.2087152116505,24.494111955339825,16213518,70,477,405,29620,22720,194,2.5,58506,46087
02520,Kirkkonummi,Lapinkylä,60.218817424844786,24.445115293167731,17733356,91,799,611,29590,24506,317,2.5,57644,49219
02540,Kirkkonummi,Kylmälä,60.239812364278556,24.391128456104965,16071748,112,638,505,33044,25854,253,2.5,65082,50692
02550,Kirkkonummi,Evitskog,60.200184949675375,24.33517986120129,34440037,168,850,667,28522,23997,346,2.5,56018,49064
02570,Siuntio,Siuntio Kirkonkylä,60.214133691022951,24.240217808455096,91135959,285,1291,994,25738,23717,544,2.4,47066,43670
02580,Siuntio,Siuntio Asemanseutu,60.124351168491017,24.246201304143888,84099930,778,3436,2538,27846,24162,1417,2.4,50213,43856
02590,Siuntio,Lappers,60.177023330396494,24.114605475770922,15359940,38,251,177,28217,25826,93,2.7,55948,56241
02600,Espoo,Etelä-Leppävaara,60.212293341017535,24.8076783116057,4183811,13029,11052,8722,26828,23841,5447,2.0,43218,35507
02610,Espoo,Kilo,60.219473877281992,24.775336716024366,2926723,5114,6354,4705,25879,22653,2714,2.3,45566,36166
02620,Espoo,Karakallio,60.235605694584407,24.77102057934508,4031134,737,8428,6229,28348,25038,3604,2.3,48561,39756
02630,Espoo,Nihtisilta,60.211900150417748,24.766942381615596,2712530,5088,3435,2590,28965,25796,1508,2.3,49957,41572
02650,Espoo,Pohjois-Leppävaara,60.225881831168785,24.822150285714269,2585315,3310,10595,8683,26999,24349,5699,1.9,42048,34801
02660,Espoo,Lintuvaara,60.237165891016815,24.811527504787975,3357279,592,6156,4433,31522,27204,2205,2.8,63033,55909
02680,Espoo,Uusmäki,60.240299555694584,24.829711335419297,1321122,98,2719,1787,32190,28312,1148,2.4,55024,48612
02700,Kauniainen,Kauniainen,60.215066225878452,24.718165738984926,5514312,2043,9480,7133,53715,30517,3993,2.3,100474,58818
02710,Espoo,Viherlaakso,60.228600262186163,24.742672224519954,2651282,1202,6019,4858,29274,25150,2823,2.1,49659,40043
02720,Espoo,Lähderanta,60.2417349542125,24.74470100549452,1655678,316,2998,2311,29809,25995,1356,2.2,50871,41365
02730,Espoo,Jupperi,60.250070973684231,24.766076940319586,3380257,359,4581,3393,38914,32085,1630,2.8,81578,71024
02740,Espoo,Bemböle-Pakankylä,60.2475575867673,24.660681789320879,29833236,3354,3180,2258,30227,26473,1249,2.5,55626,47689
02750,Espoo,Sepänkylä-Kuurinniitty,60.200121124625504,24.722430055722004,5792011,627,6283,4430,35477,28111,2574,2.4,63449,48525
02760,Espoo,Tuomarila-Suvela,60.200576301212031,24.681660928484892,4099624,1147,14443,10930,25436,23163,6549,2.2,43466,36602
02770,Espoo,Espoon Keskus,60.204135463554493,24.647635246109797,8422398,6628,10436,8193,24518,21920,4905,2.1,41486,32627
02780,Espoo,Kauklahti,60.18704462007527,24.594775220243115,27860327,2096,10716,7143,30496,26111,4230,2.5,54244,44103
02810,Espoo,Gumböle-Karhusuo,60.22343652554747,24.630710100973243,4373806,244,1792,1110,33551,29355,639,2.8,64750,58427
02820,Espoo,Nupuri-Nuuksio,60.260177576538439,24.5669756288462,63250909,351,1457,1096,33193,26813,561,2.6,65253,55838
02860,Espoo,Siikajärvi,60.278166054137614,24.520987764887888,15725519,131,654,512,28224,24738,257,2.5,55081,48831
02880,Kirkkonummi,Veikkola,60.272980109923232,24.43097508552626,40142208,892,5833,4130,31401,27549,2168,2.7,60570,54098
02920,Espoo,Niipperi,60.279486729748051,24.739792873042891,12923102,3415,5347,3602,31278,27727,1850,2.9,62153,56965
02940,Espoo,Lippajärvi-Järvenperä,60.244407409103864,24.707924979387315,22712608,1371,10335,7552,30340,26978,4413,2.3,53482,46585
02970,Espoo,Kalajärvi,60.312423536745456,24.733161314960551,27631400,692,3823,2657,30138,26305,1423,2.7,58221,52310
02980,Espoo,Lakisto,60.338501191111163,24.629095093333337,31057524,730,318,319,29319,22400,159,1.7,49635,30723
03100,Vihti,Nummela,60.337433477707044,24.303578983473855,78159695,4841,15394,11618,25825,23543,7304,2.1,42500,36069
03150,Vihti,Huhmari,60.293770862745092,24.356048814241461,23861486,143,766,615,27141,24927,330,2.3,51527,48529
03220,Vihti,Tervalampi,60.327559206929791,24.430740270452347,28318550,133,579,482,28304,24814,242,2.4,55296,51737
03250,Vihti,Ojakkala,60.370728062747688,24.40335315125494,35873701,338,1930,1439,29557,26020,728,2.7,58014,51052
03300,Vihti,Otalampi,60.391641589743479,24.513320980990294,77100011,354,2377,1780,26098,24992,911,2.6,51039,49064
03320,Vihti,Selki,60.439983485714286,24.527083999999995,20068682,82,349,263,25554,24723,140,2.5,48425,47344
03400,Vihti,Vihti Kirkonkylä,60.433466902949341,24.344685794340371,166221787,1296,6474,4971,25224,23437,2750,2.3,45631,41488
03430,Vihti,Jokikunta,60.423654634146324,24.183320175609754,45564394,91,519,382,25011,24082,206,2.5,46371,44130
03600,Karkkila,Karkkila Keskus,60.556277773266721,24.16668123860315,168480438,2289,6524,5252,22434,20585,3180,2.0,36807,31783
03620,Karkkila,Polari,60.535626968493993,24.279557180214269,59954330,329,2127,1639,23129,21811,985,2.2,39061,33048
03710,Karkkila,Uusitalo,60.523648084444446,24.373671900000016,49229428,42,186,151,23505,21453,77,2.4,45057,39985
03790,Vihti,Vihtijärvi,60.529367960467255,24.531641014375545,67218338,62,514,413,26880,24197,216,2.4,52110,47690
